T,TM,Tm,SLP,H,VV,V,VM
20.1,28.4,15.7,-,54,6,3,5.4
20.8,28.3,12.9,-,45,6.3,1.1,5.4
21.4,29,13.7,-,45,6.3,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21,28.7,17,-,65,6.3,3.1,5.4
20.4,27.6,16.2,-,61,5.5,1.3,5.4
20.7,28.4,15.1,-,47,6.3,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20.3,28.5,15.7,-,51,6.3,0.7,3.5
21.1,27.2,15,-,51,6.3,3.5,5.4
20.6,28.2,15.2,-,58,6.3,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.4,28.4,17.8,-,73,4.8,3,5.4
21.2,25.9,19.4,-,88,4,1.3,3.5
22.6,27.4,19,-,78,5.3,2.8,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.9,29.2,18.5,-,70,5.5,2.6,7.6
23.1,28.9,18.9,-,68,6.3,0.9,3.5
23.4,29.3,19,-,66,4.8,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.1,30.7,16.4,-,43,6.3,1.5,5.4
23.3,31.4,16.4,-,36,6.9,0.9,3.5
23.7,31.9,16.3,-,35,6.9,0.9,3.5
23.6,32.2,16.2,-,44,6.3,1.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.2,31.2,17.3,-,61,5.6,1.1,3.5
25.2,30.5,19.2,-,50,6.9,1.5,37
24.3,31.7,18.6,-,50,6.3,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.8,31.9,19.5,-,49,5.5,2.4,3.5
24,32.1,19,-,48,6.3,2.2,5.4
23.1,31.2,17.3,-,54,6.6,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.8,29.9,18,-,44,6.9,1.3,3.5
26.2,32.5,19.6,-,50,6.9,1.9,3.5
26.9,33.2,20.2,-,50,7.4,0.6,3.5
,,,,,,,
,,,,,,,
,,,,,,,
26.4,33.4,22.3,-,59,5.5,3,5.4
24.9,33.5,20.5,-,58,6.3,2.4,5.4
24.9,31.3,18.7,-,51,6.9,2.4,5.4
,,,,,,,
,,,,,,,
24.6,30.7,18.9,-,55,6.9,2.8,5.4
24.6,31.5,19.7,-,52,6.9,2.8,5.4
25.3,31.7,19.6,-,49,6.3,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
25.4,33.4,18.7,-,46,6.9,1.9,3.5
25.7,33.2,18.8,-,43,6.3,1.5,5.4
26.7,34.3,19.5,-,44,6.9,0.6,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.8,35.4,22.7,-,57,6.3,2.4,5.4
28.3,34.3,24.4,-,58,5.5,3.9,7.6
26.2,34.4,22.4,-,66,6.3,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
29,35.2,23.3,-,46,7.4,3.1,3.5
28.8,35.4,23.5,-,41,6.9,0.4,3.5
29.2,36,24.7,-,45,6.9,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.8,35.8,22.8,-,40,6.9,3,5.4
27.7,35,21.2,-,33,6.9,1.3,3.5
27.8,35.1,20.7,-,33,6.9,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28,35,23,-,44,6.9,1.3,3.5
28.3,34.8,23.2,-,43,7.7,0.4,3.5
28.4,35.3,23.5,-,46,6.9,1.1,3.5
28.6,35.5,23.8,-,46,6.9,2.2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
29,35.4,24.3,-,53,7.4,1.9,5.4
28.7,36.3,23.1,-,60,6.9,1.3,3.5
28.6,35.3,24.5,-,55,6.9,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
30.4,37.2,25.1,-,50,6.9,2.8,7.6
31.2,37,25.4,-,45,6.9,2.2,7.6
30.7,37.4,25.8,-,49,7.7,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
29.8,36.6,24.6,-,51,6.9,2.4,5.4
30.4,36.8,24.8,-,49,6.9,2.8,5.4
30.3,37,24.3,-,46,6.9,3.1,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.5,39.2,23.2,-,64,6.9,1.1,5.4
29,37.1,22.8,-,48,7.7,1.5,5.4
29.6,35.5,23.4,-,39,6.9,2.2,7.6
,,,,,,,
,,,,,,,
,,,,,,,
30.5,36.6,24.4,-,41,6.9,1.3,3.5
29.3,37.3,24.7,-,51,6.9,3,5.4
29.8,36.6,24.5,-,47,7.7,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.2,34.6,21,-,62,6.3,0.7,5.4
25.6,33.7,21.4,-,72,6.3,3.1,9.4
27.4,34,21,-,58,6.9,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
28.3,34.6,22.3,-,57,6.9,0.2,1.9
28.9,34.6,23.5,-,58,6.9,0.9,3.5
28.8,35.1,24.6,-,51,6.9,0,-
,,,,,,,
,,,,,,,
,,,,,,,
24.6,28.9,20,-,78,6.9,3.9,5.4
25.3,30,19.6,-,78,6.9,5.6,9.4
26.1,32.2,20.9,-,70,6.6,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.6,34,22.8,-,63,6.9,4.8,7.6
27.9,33.2,22.2,-,63,6.9,3.7,7.6
26.5,33.8,23.2,-,70,6.9,3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
25.3,31.2,22.2,-,76,6.9,3.9,7.6
25.4,31.5,21.5,-,75,6.9,5,7.6
24.4,33.3,21,-,82,6.9,3.9,5.4
25.5,30.2,21,-,78,6.9,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
25.7,31.4,21.6,-,79,6.9,3.5,5.4
24.5,30.9,22,-,81,6.3,5.2,7.6
24.6,30.4,21.4,-,77,7.7,5.2,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.5,29.6,20.6,-,86,6.9,5.6,7.6
23.6,27.7,20.1,-,75,6.9,5.6,11.1
23.7,29.2,20.7,-,74,6.9,4.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.7,28.2,20.8,-,78,6.9,4.1,7.6
23.3,29.9,20,-,82,6.3,5,7.6
22.7,28.5,20.4,-,82,6.9,4.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
21.2,27.5,19.3,-,85,6.3,5.9,7.6
23.3,26.5,19.7,-,78,6.9,5.6,7.6
22.5,28.2,20.8,-,84,6.9,5.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.2,27.6,20.2,-,80,6.3,8.3,11.1
23.8,28.2,19.9,-,76,6.9,8.1,11.1
23.6,28.8,20.2,-,78,6.3,9.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.6,26.7,20.3,-,78,6.3,8.7,11.1
22.7,27.4,20.6,-,85,5.5,8.1,11.1
22.1,26.4,20.1,-,83,5.5,9.1,14.8
,,,,,,,
,,,,,,,
,,,,,,,
23.8,28.1,20.1,-,71,7.4,10.9,18.3
25,29.5,19.7,-,70,6.9,6.1,11.1
24.8,30.7,21.5,-,73,6.9,4.8,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.9,28.3,20,-,77,6.3,4.1,7.6
22.6,28.4,20.1,-,81,6.3,5,7.6
21.9,27.7,19.6,-,82,7.7,5.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.9,29,20.4,-,81,6.9,4.6,9.4
23.3,30.3,20.1,-,84,6.3,3.1,5.4
24.1,29.1,20.7,-,82,6.3,3.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.4,26,19.4,-,82,6.9,6.1,7.6
22.2,27,19.8,-,78,6.3,7.4,11.1
22.9,27.2,19.3,-,71,8.5,8.3,11.1
22.1,27.6,19.1,-,76,6.9,9.8,14.8
,,,,,,,
,,,,,,,
,,,,,,,
23.3,28.3,20,-,75,6.9,7,9.4
23.5,28.2,20,-,76,6.9,8,11.1
23.8,27.8,20.5,-,73,7.7,6.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
24,29,20.6,-,77,6.3,5.9,11.1
22.9,28.2,20,-,77,6.9,4.1,5.4
23.5,28.8,19.5,-,74,7.7,5.9,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.9,29,20.3,-,71,6.9,6.7,9.4
24.4,30.2,20.4,-,71,6.9,5,9.4
24.3,30.1,20.4,-,74,6.9,4.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.1,29.3,21,-,77,6.3,4.1,7.6
23.8,28.2,19.9,-,76,5.5,6.9,11.1
23.3,28.7,21.2,-,79,6.9,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.4,27.2,20.4,-,87,5.5,5.4,7.6
23.2,26.6,20,-,82,7.4,5,7.6
22.6,26.7,20.6,-,82,6.3,5.2,7.6
23.7,27.2,20.4,-,75,6.9,6.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.1,27.2,18.8,-,69,7.7,4.3,5.4
23.9,28.6,19.3,-,67,6.9,5,7.6
24.3,29.4,20.4,-,69,6.3,4.1,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.6,26.5,20.5,-,75,6.3,5.2,7.6
23.8,27.8,20.4,-,76,6.9,4.6,5.4
22.9,28.6,20.5,-,79,6.3,5.6,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.4,29,19.8,-,68,6.9,6.3,11.1
23.2,30.6,19.7,-,71,6.9,6.7,9.4
22.7,27.4,20.2,-,76,6.9,7.4,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22.6,25.8,19.8,-,79,5.5,5,9.4
24.1,28,20.5,-,76,6.9,5,7.6
24.3,28.6,20.9,-,75,7.4,6.9,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.2,29.7,19.6,-,72,6.3,4.6,7.6
23.6,29.5,18.8,-,68,6.3,3.7,7.6
25.3,30.7,20.3,-,64,5.5,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.6,31.6,19.7,-,60,6.3,3,5.4
24.6,30.6,19.8,-,65,6.3,5.2,7.6
23.9,31.3,19.6,-,70,6.3,5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.6,29.3,20.1,-,72,5.3,1.5,3.5
24.8,29,21,-,59,6.9,1.3,3.5
23.9,30.6,19.4,-,54,6.9,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
25,31.2,18.7,-,48,6.9,0.9,3.5
24.6,31.1,19.1,-,50,6.9,1.5,3.5
24.9,31.2,19.1,-,50,6.3,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.8,31.3,19.8,-,49,6.3,0.9,3.5
24.2,31,18.4,-,52,6.9,0.7,5.4
25.2,30.8,19.4,-,45,7.4,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.5,30.7,20.1,-,68,6.3,4.1,5.4
23.7,30.6,20.8,-,72,5.5,2.2,7.6
24.1,29.1,20.1,-,66,6.3,2.2,3.5
