T,TM,Tm,SLP,H,VV,V,VM
23.6,28.9,20.3,-,72,6.3,4.8,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.8,30,20.2,-,73,7.7,4.1,5.4
23.9,30,21.1,-,81,6.3,3.1,5.4
23.2,28.4,19.2,-,80,6.3,3.7,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.9,28.9,20,-,71,6.9,6.7,7.6
24.9,30.8,20.6,-,70,6.9,4.8,7.6
24.1,30.8,21.6,-,79,6.3,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.4,30.5,20.3,-,72,6.9,1.5,7.6
21.9,30.4,20.1,-,81,6.3,0.9,5.4
21.5,27.2,19.5,-,85,6.9,2.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.2,27,20.7,-,81,6.3,3.3,5.4
23.4,29.4,20.7,-,78,6.9,4.3,5.4
23.3,29.4,19.8,-,80,5.5,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,28.7,18.6,-,71,6.3,1.3,5.4
24.2,29.6,19.6,-,73,6.9,2.2,5.4
23.3,29.6,19.9,-,80,5.8,3.9,7.6
22.9,29,20,-,78,6,4.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.3,29,19,-,69,6.3,2.8,5.4
22.2,29,18.4,-,69,6.9,1.5,5.4
22.2,28.2,17.3,-,68,6.9,2.2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.8,28.6,18.5,-,71,6.3,0,-
22,28,17.8,-,67,5.5,1.1,3.5
21.4,28,15.6,-,63,6.3,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
22.4,29,16.8,-,74,6.3,1.9,3.5
22.3,29,18.2,-,68,6.3,1.3,3.5
22.7,30,16.5,-,65,6.9,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
22.5,28.5,19.8,-,80,6.3,2,5.4
23.1,29.2,19.2,-,74,6.9,1.1,5.4
22.7,29.2,18.8,-,67,6.9,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.1,29.9,20,-,76,6.9,3.1,5.4
22.5,28.3,19.4,-,74,7.7,2.4,5.4
21.9,28,18.4,-,67,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
20.2,28.4,15.7,-,67,6.3,1.9,3.5
21.3,28,16.8,-,68,6.9,0.9,3.5
21.2,28.7,15.9,-,54,6.9,0.7,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.3,27,18.6,-,71,6.3,3.5,5.4
22.6,27.7,19.5,-,75,6.3,3.5,5.4
22.3,30.3,16,-,56,6,1.3,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20.2,27.2,14.7,-,66,6.9,0.9,3.5
20.4,28.9,14.5,-,65,6.8,1.3,3.5
20.6,28.9,14.9,-,61,6.9,3.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20.8,27.3,15.6,-,70,6,3.5,5.4
19.9,27.3,14.9,-,68,6.3,3.3,5.4
20.6,27.4,16,-,65,6.3,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
20.1,27.5,14.9,-,67,6.9,4.3,5.4
