T,TM,Tm,SLP,H,VV,V,VM
23.4,30.3,19,-,59,6.3,4.3,5.4
22.4,30.3,16.9,-,57,6.9,3.3,7.6
24,31.8,16.9,-,51,6.9,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.8,30.2,17.6,-,55,7.7,3.7,7.6
23.1,30.6,17.4,-,46,6.9,3.3,5.4
22.9,30.6,17.4,-,51,6.9,3.5,3.5
,,,,,,,
,,,,,,,
,,,,,,,
22.3,30.1,15.7,-,43,6.9,2.8,5.4
21.8,30.6,14.8,-,41,6.9,1.9,5.4
21.6,30.6,14.2,-,43,6.9,3.1,7.6
,,,,,,,
,,,,,,,
,,,,,,,
21.6,29.6,16.4,-,58,6.9,2.2,3.5
21.9,29.6,16.6,-,58,6.9,2.4,5.4
22.3,29.9,17.5,-,55,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.6,29.1,15.5,-,47,7.7,4.8,7.6
21.8,29.2,14.6,-,41,6.9,2.8,3.5
22.3,30.1,15.6,-,40,6.9,2.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.1,29.8,17.3,-,54,6.9,5.2,9.4
21.6,29.2,15.3,-,51,6.9,3.9,5.4
21.4,29.2,15.2,-,45,6.9,2.8,5.4
21.8,29.6,14.4,-,37,7.4,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.6,32.2,18.8,-,55,6.9,2.2,3.5
24.6,32.2,21,-,63,5.5,3.9,9.4
23.9,31.6,19,-,51,6.6,5.9,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.5,31.5,18.9,-,49,6.9,4.8,9.4
23.9,31.5,19.7,-,64,6.3,5.2,9.4
24.3,31.4,20.2,-,68,6.9,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.8,31.8,20.5,-,62,6.3,2,5.4
24.5,32.2,19.7,-,59,6.6,3.9,5.4
24.3,32.2,18,-,47,6.9,5,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.1,33.4,15.9,-,29,7.7,3.5,5.4
24.7,32.4,16.3,-,30,6.9,5,9.4
24.7,32.4,16.9,-,32,6.9,0.9,3.5
,,,,,,,
25.5,33,18.5,-,26,6.9,3.9,5.4
25.5,33,18.9,-,34,6.9,4.6,7.6
25.3,33.2,18.5,-,31,6.9,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24,30.4,21,-,71,6.3,5.2,5.4
25.4,32,20,-,56,6.9,3.5,5.4
25.8,34.1,20.3,-,51,6.6,1.5,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.1,34.8,20.2,-,30,6.9,3.1,5.4
26.8,34.7,20.7,-,34,6.9,2.4,5.4
25.3,34.2,18.9,-,40,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.9,34.6,19.9,-,37,6.9,5,5.4
27.1,34.6,20.4,-,39,6.9,5,7.6
26.8,34.5,20.5,-,32,6.9,4.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
28.1,34.8,21.3,-,44,6.3,3.9,7.6
28.8,35.4,23.2,-,44,6.9,4.3,5.4
28.5,35.8,22.9,-,39,6.9,3.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
28.1,36.5,22.4,-,57,6.9,3.1,5.4
27.2,36.5,20.7,-,58,6.9,4.3,7.6
26.9,34.9,22.2,-,54,6.9,5,11.1
27.8,34.9,22.1,-,58,6.9,3.5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
29.9,36.8,23.3,-,41,6.9,3.7,7.6
29.4,36.8,24.4,-,44,6.9,2,7.6
29.6,36,24.5,-,42,6.9,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.7,36.2,21.4,-,42,6.9,3.5,3.5
29.2,35.9,23.1,-,50,6.9,3.9,7.6
27.5,35.9,22.6,-,56,6.3,5.9,11.1
,,,,,,,
,,,,,,,
,,,,,,,
28.2,35.8,22.5,-,50,6.9,5,7.6
28.9,35.7,23.3,-,45,6.9,3.5,5.4
28.2,35.7,22.6,-,53,6.9,4.6,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.4,34.7,23.3,-,54,6.9,3.3,5.4
28.2,34.5,24.4,-,56,6.9,3,5.4
28.4,35.3,23.3,-,56,7.7,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.7,37,22.7,-,43,6.9,3.5,5.4
29.6,37.6,24,-,51,6.9,4.8,7.6
28.3,37.6,24,-,58,6.9,6.5,11.1
,,,,,,,
,,,,,,,
,,,,,,,
28.8,35.1,24.3,-,58,6.9,4.6,5.4
28,35.1,23.4,-,61,6.9,5.9,7.6
26.9,35.3,22.2,-,63,6.9,4.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
26.1,32.1,22.1,-,68,6.9,4.4,5.4
26.3,32.1,21.9,-,63,6.9,6.5,11.1
26.4,33.8,21.6,-,58,7.6,5.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
26.2,35.7,22.4,-,71,6.9,3,5.4
25.2,33.8,21.4,-,75,6.3,5,7.6
27.3,34,20.9,-,64,6.9,5,9.4
,,,,,,,
,,,,,,,
,,,,,,,
26.5,33.5,22,-,58,6.3,8,11.1
26.6,33,22,-,62,6.9,6.3,7.6
25.5,33,20.6,-,66,6.9,6.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.7,31.3,20.8,-,81,5.8,2.8,5.4
21.8,29.4,20,-,90,5.5,6.1,7.6
22.3,27.6,20,-,86,5.5,6.1,9.4
22.3,27.6,19.2,-,85,5.5,6.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.8,29.9,21,-,80,6.9,8.7,11.1
23,28.8,20.1,-,77,6.3,8.1,11.1
23.8,28.4,20.1,-,70,6.9,12.4,18.3
,,,,,,,
,,,,,,,
,,,,,,,
23.7,28.3,20,-,69,6.9,11.3,14.8
23.7,28.3,20.5,-,70,6.3,9.8,16.5
23.4,28.6,20,-,74,6.9,9.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
24.3,29.2,20.2,-,71,7.4,8.5,11.1
23.6,30.2,20.3,-,74,6.9,7.2,9.4
23.4,30.2,20,-,78,6.9,5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,28.4,20.6,-,77,6.9,8.9,18.3
22.4,27.8,20.4,-,87,6.9,5.2,5.4
23.5,28.5,20.6,-,75,6.9,5.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.7,29.2,19.4,-,70,6.9,8.5,14.8
22.6,29.2,19.8,-,79,5.5,6.9,11.1
22.2,28.1,19.9,-,83,6.9,6.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.3,29.6,20.6,-,76,6.3,5,9.4
23.8,28.7,20.5,-,73,6.9,5.7,9.4
22.6,28.8,20.4,-,82,6.9,5.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.2,27.3,20.2,-,84,6.3,5.9,9.4
23.1,27.4,19.8,-,79,6.3,5,7.6
23.1,28.3,20.2,-,81,5.8,4.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
21.4,27,19.7,-,90,6.3,5.4,7.6
21.3,27,19.7,-,93,6.3,5.4,7.6
22.5,26,19.9,-,84,6.3,5.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.1,27.6,19.8,-,75,6.9,9.8,11.1
22.6,27.6,20,-,77,6.9,8.1,11.1
22.3,27.4,19.7,-,84,6.9,6.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22,26.9,20,-,76,6.9,11.7,22.2
22.4,26.2,20,-,79,6.6,9.8,14.8
23.2,28.4,20.1,-,78,6.9,9.8,11.1
22.7,28.4,20.2,-,80,6.3,6.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.4,28,20.1,-,76,6.9,6.3,7.6
23.9,29.5,20.6,-,74,6.3,6.1,9.4
23.7,29.5,20.9,-,76,6.9,6.3,9.4
,,,,,,,
,,,,,,,
,,,,,,,
22.9,27.8,20.4,-,83,6.3,4.4,5.4
21.3,27.8,19.8,-,88,5.5,4.6,7.6
20.7,25.1,19,-,89,6.9,4.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.6,26.8,19.6,-,81,6.3,8.5,14.8
22.4,26.7,19.7,-,81,5.5,6.7,9.4
22.7,28.4,20.1,-,77,6.9,6.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.4,26.7,19.5,-,82,6.3,5.2,7.6
23.9,29,19.5,-,73,6.3,4.6,7.6
24.2,29.7,19.9,-,69,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.6,30.1,21.9,-,77,6.9,1.5,5.4
24.3,30.8,19.2,-,72,6.9,0.9,3.5
23.9,31.4,19,-,76,6.9,1.5,5.4
22.9,31.4,19.5,-,80,6.9,3.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22.2,27.7,20,-,85,6.3,4.8,7.6
21.8,25.4,19.5,-,89,5.5,2.8,5.4
21.7,25.4,19.1,-,84,5.5,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.9,27.4,19.8,-,87,6.6,4.1,5.4
23.2,27.5,20.5,-,87,6.9,3,5.4
23,27.5,20.6,-,84,4.8,4.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.2,28.8,20.5,-,81,6.3,7.6,11.1
22.1,28.4,20.6,-,85,6.9,8,18.3
23.1,27.9,20.2,-,80,6.9,5.9,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.8,28.3,19.4,-,73,7.7,3.9,5.4
24.7,30.4,19.5,-,68,9.2,5,7.6
24.9,30.8,20,-,64,7.7,4.4,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.8,29.5,19.6,-,73,6.9,5,7.6
24.2,29.5,21.1,-,73,6.9,6.3,11.1
