date,PM2.5
2013-01-01,284.79583333333335
2013-01-02,219.72083333333333
2013-01-03,182.1875
2013-01-04,115.28750000000001
2013-01-05,0.0
2013-01-06,12.379166666666668
2013-01-07,154.0375
2013-01-08,223.20833333333334
2013-01-09,200.64583333333334
2013-01-10,154.875
2013-01-11,129.38750000000002
2013-01-12,224.2458333333333
2013-01-13,285.22499999999997
2013-01-14,236.82500000000002
2013-01-15,276.90833333333336
2013-01-16,245.65
2013-01-17,218.67083333333335
2013-01-18,47.824999999999996
2013-01-19,108.0
2013-01-20,107.625
2013-01-21,125.89166666666667
2013-01-22,179.3083333333333
2013-01-23,239.85
2013-01-24,220.1916666666667
2013-01-25,181.01250000000002
2013-01-26,152.55416666666667
2013-01-27,152.32083333333333
2013-01-28,171.42916666666667
2013-01-29,251.375
2013-01-30,251.82916666666665
2013-01-31,319.7375
2013-02-01,332.7083333333333
2013-02-02,279.59999999999997
2013-02-03,179.11666666666667
2013-02-04,166.29999999999998
2013-02-05,78.25416666666666
2013-02-06,54.958333333333336
2013-02-07,54.791666666666664
2013-02-08,93.375
2013-02-09,103.0
2013-02-10,211.125
2013-02-11,192.29166666666666
2013-02-12,152.0
2013-02-13,132.20833333333334
2013-02-14,127.70833333333333
2013-02-15,109.33333333333333
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,56.458333333333336
2013-02-20,135.83333333333334
2013-02-21,122.5
2013-02-22,119.33333333333333
2013-02-23,67.125
2013-02-24,46.708333333333336
2013-02-25,69.66666666666667
2013-02-26,79.83333333333333
2013-02-27,62.708333333333336
2013-02-28,81.04166666666667
2013-03-01,21.208333333333332
2013-03-02,1.9166666666666667
2013-03-03,1.8333333333333333
2013-03-04,1.7916666666666667
2013-03-05,31.625
2013-03-06,112.08333333333333
2013-03-07,105.83333333333333
2013-03-08,117.58333333333333
2013-03-09,122.70833333333333
2013-03-10,76.54166666666667
2013-03-11,159.08333333333334
2013-03-12,147.95833333333334
2013-03-13,111.95833333333333
2013-03-14,59.208333333333336
2013-03-15,77.20833333333333
2013-03-16,87.83333333333333
2013-03-17,90.04166666666667
2013-03-18,63.916666666666664
2013-03-19,98.70833333333333
2013-03-20,123.70833333333333
2013-03-21,64.79166666666667
2013-03-22,62.875
2013-03-23,88.375
2013-03-24,77.66666666666667
2013-03-25,52.333333333333336
2013-03-26,52.041666666666664
2013-03-27,128.33333333333334
2013-03-28,87.58333333333333
2013-03-29,2.9166666666666665
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,23.208333333333332
2013-04-02,15.166666666666666
2013-04-03,21.25
2013-04-04,25.75
2013-04-05,52.416666666666664
2013-04-06,89.0
2013-04-07,81.83333333333333
2013-04-08,105.33333333333333
2013-04-09,117.75
2013-04-10,20.791666666666668
2013-04-11,64.79166666666667
2013-04-12,87.375
2013-04-13,84.5
2013-04-14,46.916666666666664
2013-04-15,104.625
2013-04-16,109.625
2013-04-17,63.458333333333336
2013-04-18,77.04166666666667
