T,TM,Tm,SLP,H,VV,V,VM
21,27.6,14.6,-,61,6,2.2,3.5
21.6,27.7,17,-,59,6.8,2,3.5
22.3,29,16.1,-,48,6.9,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
20.9,29,16,-,66,5.5,2.2,3.5
20.9,27.8,16,-,62,6.3,3,5.4
21,28.5,15,-,58,6.8,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.2,28,16.9,-,66,5.5,2.2,3.5
20.7,28.3,17.2,-,61,6.3,2.2,3.5
20.7,27.2,15.5,-,61,6.3,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
20.4,28.2,15.8,-,64,6.3,2.8,7.6
21.7,27.6,15.3,-,64,6.3,3.5,5.4
21.7,28.9,18.5,-,68,6.3,5.2,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22.6,30.3,16.7,-,52,6.3,3.1,5.4
21.9,29.2,18.3,-,75,4,3.7,7.6
22.1,26,19.7,-,79,6.3,3.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.9,31.7,18.2,-,54,6.9,2.8,7.6
23.1,32,16,-,46,6.9,3.3,3.5
23.5,31.5,16.4,-,40,7.7,3.1,3.5
22.7,31.7,16.7,-,50,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.9,30.9,16.1,-,36,6.9,3.1,5.4
23.8,32.2,16.6,-,37,6.3,3,7.6
23.4,32,15.8,-,35,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22.1,29.6,15.8,-,54,6.9,4.3,5.4
22.6,28.8,17.4,-,61,6.3,3.5,5.4
23.1,29,17.3,-,45,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.7,31.2,16.8,-,42,6.9,1.5,5.4
24.6,31.8,17.7,-,38,6.3,1.9,3.5
25.9,33.4,19.3,-,41,6.3,2.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.7,35.5,19,-,31,5.5,1.9,3.5
25.8,34.9,20,-,41,6.9,3.3,5.4
24.3,33.3,19.1,-,36,6.9,4.3,9.4
,,,,,,,
24.2,32.5,16.9,-,29,6.9,3.3,7.6
24.4,32,15.7,-,33,6.9,3.9,5.4
25.8,32,18.2,-,43,6.9,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.2,33.1,21.5,-,60,6.9,3,5.4
25.6,33.8,21.1,-,62,6.9,0.4,3.5
26.7,32.5,21.2,-,54,6.9,2.8,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.6,34.3,22.2,-,57,6.9,3.3,3.5
25.2,34,22,-,67,6.9,3.1,5.4
25.3,30.4,20.8,-,57,6.9,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
28,35,22.4,-,45,6.9,3.1,5.4
28,36,23.2,-,48,6.9,3,5.4
27.4,34.8,22.4,-,49,6.9,2.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
28.1,35.6,20.6,-,25,6.9,1.9,3.5
28.6,37.2,21.6,-,28,6.9,2.8,5.4
28.3,36.1,21.2,-,28,6.9,2.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
29.2,35.4,22.1,-,30,6.9,2.8,5.4
28.6,35.8,22.5,-,34,6.9,2.8,5.4
28.9,36.3,21.9,-,40,6.9,3.1,3.5
29.4,35.6,23.5,-,39,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.6,35.5,22.5,-,49,6.9,3,5.4
30.1,36,24.5,-,39,6.9,3.5,5.4
29.4,36.5,24.4,-,43,8.5,3.5,3.5
,,,,,,,
,,,,,,,
,,,,,,,
29.3,37,24,-,31,6.9,1.9,3.5
28.8,36.5,23.2,-,36,6.9,4.1,7.6
29,35.6,22.6,-,38,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.9,35.6,23.5,-,53,6.9,4.1,5.4
26.6,35.7,23,-,65,6.9,4.3,7.6
26.9,35.2,21.7,-,60,6.3,4.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
27.5,37,22.6,-,53,6.9,4.8,7.6
28.7,37,22.5,-,47,6.9,1.3,3.5
29.1,35.6,24,-,48,6.9,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.8,35.6,20.5,-,48,6.9,3.9,9.4
27.6,35.1,22.3,-,49,6.9,3.3,7.6
28.2,34.2,23.3,-,51,6.9,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.3,36.6,21,-,55,6.3,3.1,7.6
26.9,37,20.8,-,59,6.9,2.8,3.5
26,33.2,22.5,-,67,6.9,3.1,7.6
,,,,,,,
,,,,,,,
,,,,,,,
28.1,33,23.7,-,60,6.9,2,5.4
27.1,33.8,22.5,-,63,6.9,5,7.6
27.1,35,21.8,-,58,6.3,6.9,18.3
,,,,,,,
,,,,,,,
,,,,,,,
26.2,35.5,19.4,-,67,6.9,4.3,7.6
26.8,33.7,20.2,-,61,6.9,4.8,9.4
26.1,35.1,19.9,-,70,6.9,4.6,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.6,34,21.9,-,67,8.5,4.3,7.6
26.2,33.3,21,-,75,6.9,6.1,9.4
23.1,33.1,20,-,84,6.3,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.9,31.2,20.8,-,74,6.9,6.3,9.4
26.1,31.5,20.8,-,69,6.9,4.4,5.4
26.4,32.1,21.8,-,70,6.9,6.3,9.4
25.7,32.4,22,-,70,6.9,6.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.9,31.2,22,-,71,6.9,7.4,9.4
25,29.6,21.5,-,67,6.9,7.4,9.4
23.4,29.6,21.1,-,77,6.9,8.1,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.2,27.5,20.7,-,78,6.9,7.2,9.4
25.8,29.7,22,-,66,6.9,7.4,11.1
25.1,31.2,21.5,-,67,6.9,7,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,29,20,-,76,6.9,5.2,9.4
24.2,28,21,-,83,6.9,5.7,7.6
24.6,29,20.8,-,75,6.9,7.8,9.4
,,,,,,,
,,,,,,,
