T,TM,Tm,SLP,H,VV,V,VM,date,PM2.5
,,,,,,,,2013-04-06,89.0
29.9,36.8,23.3,-,41.0,6.9,3.7,7.6,2013-04-07,81.83333333333333
29.4,36.8,24.4,-,44.0,6.9,2.0,7.6,2013-04-08,105.33333333333331
29.6,36.0,24.5,-,42.0,6.9,3.9,7.6,2013-04-09,117.75
,,,,,,,,2013-04-10,20.791666666666668
,,,,,,,,2013-04-11,64.79166666666667
,,,,,,,,2013-04-12,87.375
27.7,36.2,21.4,-,42.0,6.9,3.5,3.5,2013-04-13,84.5
29.2,35.9,23.1,-,50.0,6.9,3.9,7.6,2013-04-14,46.91666666666666
27.5,35.9,22.6,-,56.0,6.3,5.9,11.1,2013-04-15,104.625
,,,,,,,,2013-04-16,109.625
,,,,,,,,2013-04-17,63.458333333333336
,,,,,,,,2013-04-18,77.04166666666667
28.2,35.8,22.5,-,50.0,6.9,5.0,7.6,2013-04-19,110.875
28.9,35.7,23.3,-,45.0,6.9,3.5,5.4,2013-04-20,42.958333333333336
28.2,35.7,22.6,-,53.0,6.9,4.6,5.4,2013-04-21,0.0
,,,,,,,,2013-04-22,30.875
,,,,,,,,2013-04-23,75.58333333333333
,,,,,,,,2013-04-24,106.95833333333331
28.4,34.7,23.3,-,54.0,6.9,3.3,5.4,2013-04-25,120.875
28.2,34.5,24.4,-,56.0,6.9,3.0,5.4,2013-04-26,79.91666666666667
28.4,35.3,23.3,-,56.0,7.7,3.3,5.4,2013-04-27,0.0
,,,,,,,,2013-04-28,0.0
,,,,,,,,2013-04-29,0.0
,,,,,,,,2013-04-30,38.5
28.7,37.0,22.7,-,43.0,6.9,3.5,5.4,2013-05-01,94.75
29.6,37.6,24.0,-,51.0,6.9,4.8,7.6,2013-05-02,142.5
28.3,37.6,24.0,-,58.0,6.9,6.5,11.1,2013-05-03,133.375
,,,,,,,,2013-05-04,102.41666666666669
,,,,,,,,2013-05-05,101.75
,,,,,,,,2013-05-06,117.95833333333331
28.8,35.1,24.3,-,58.0,6.9,4.6,5.4,2013-05-07,147.83333333333334
28.0,35.1,23.4,-,61.0,6.9,5.9,7.6,2013-05-08,158.29166666666666
26.9,35.3,22.2,-,63.0,6.9,4.3,7.6,2013-05-09,149.58333333333334
,,,,,,,,2013-05-10,107.29166666666669
,,,,,,,,2013-05-11,96.25
,,,,,,,,2013-05-12,76.25
26.1,32.1,22.1,-,68.0,6.9,4.4,5.4,2013-05-13,101.5
26.3,32.1,21.9,-,63.0,6.9,6.5,11.1,2013-05-14,106.5
26.4,33.8,21.6,-,58.0,7.6,5.6,7.6,2013-05-15,128.125
,,,,,,,,2013-05-16,108.0
,,,,,,,,2013-05-17,125.625
,,,,,,,,2013-05-18,137.16666666666666
26.2,35.7,22.4,-,71.0,6.9,3.0,5.4,2013-05-19,101.95833333333331
25.2,33.8,21.4,-,75.0,6.3,5.0,7.6,2013-05-20,98.41666666666669
27.3,34.0,20.9,-,64.0,6.9,5.0,9.4,2013-05-21,94.375
,,,,,,,,2013-05-22,118.5
,,,,,,,,2013-05-23,89.54166666666667
,,,,,,,,2013-05-24,87.25
26.5,33.5,22.0,-,58.0,6.3,8.0,11.1,2013-05-25,107.625
