date,PM2.5
2015-07-31,15.375
2015-08-01,19.833333333333332
2015-08-02,25.791666666666668
2015-08-03,22.708333333333332
2015-08-04,27.125
2015-08-05,42.458333333333336
2015-08-06,35.5
2015-08-07,31.333333333333332
2015-08-08,47.416666666666664
2015-08-09,33.791666666666664
2015-08-10,54.875
2015-08-11,49.625
2015-08-12,35.041666666666664
2015-08-13,39.041666666666664
2015-08-14,41.708333333333336
2015-08-15,28.75
2015-08-16,31.0
2015-08-17,37.791666666666664
2015-08-18,34.041666666666664
2015-08-19,12.25
2015-08-20,14.5
2015-08-21,23.916666666666668
2015-08-22,26.458333333333332
2015-08-23,25.333333333333332
2015-08-24,24.208333333333332
2015-08-25,27.375
2015-08-26,29.208333333333332
2015-08-27,36.5
2015-08-28,57.25
2015-08-29,38.666666666666664
2015-08-30,28.5
2015-08-31,27.833333333333332
2015-09-01,44.125
2015-09-02,62.25
2015-09-03,60.125
2015-09-04,54.25
2015-09-05,43.083333333333336
2015-09-06,37.416666666666664
2015-09-07,34.666666666666664
2015-09-08,39.208333333333336
2015-09-09,38.708333333333336
2015-09-10,31.375
2015-09-11,16.583333333333332
2015-09-12,66.83333333333333
2015-09-13,69.95833333333333
2015-09-14,94.375
2015-09-15,85.75
2015-09-16,80.66666666666667
2015-09-17,93.66666666666667
2015-09-18,39.5
2015-09-19,51.666666666666664
2015-09-20,39.416666666666664
2015-09-21,23.958333333333332
2015-09-22,19.916666666666668
2015-09-23,11.5
2015-09-24,32.958333333333336
2015-09-25,43.5
2015-09-26,50.416666666666664
2015-09-27,55.708333333333336
2015-09-28,47.083333333333336
2015-09-29,51.458333333333336
2015-09-30,35.541666666666664
2015-10-01,57.125
2015-10-02,69.375
2015-10-03,65.375
2015-10-04,75.625
2015-10-05,88.95833333333333
2015-10-06,93.25
2015-10-07,112.29166666666667
2015-10-08,97.70833333333333
2015-10-09,80.70833333333333
2015-10-10,69.25
2015-10-11,55.916666666666664
2015-10-12,62.708333333333336
2015-10-13,81.625
2015-10-14,65.375
2015-10-15,84.375
2015-10-16,115.875
2015-10-17,140.16666666666666
2015-10-18,175.375
2015-10-19,141.95833333333334
2015-10-20,153.375
2015-10-21,162.875
2015-10-22,115.70833333333333
2015-10-23,100.625
2015-10-24,91.125
2015-10-25,0.0
2015-10-26,49.333333333333336
2015-10-27,107.33333333333333
2015-10-28,80.16666666666667
2015-10-29,84.04166666666667
2015-10-30,97.25
2015-10-31,273.625
2015-11-01,256.9583333333333
2015-11-02,185.08333333333334
2015-11-03,249.5
2015-11-04,269.5833333333333
2015-11-05,135.375
2015-11-06,166.16666666666666
2015-11-07,365.75
2015-11-08,241.875
2015-11-09,176.875
2015-11-10,205.0
2015-11-11,113.625
2015-11-12,296.875
2015-11-13,353.0416666666667
2015-11-14,257.4166666666667
2015-11-15,204.75
2015-11-16,160.95833333333334
2015-11-17,130.75
2015-11-18,174.79166666666666
2015-11-19,207.83333333333334
2015-11-20,268.1666666666667
2015-11-21,278.3333333333333
2015-11-22,256.7083333333333
2015-11-23,279.5833333333333
2015-11-24,280.2083333333333
2015-11-25,157.5
2015-11-26,156.375
2015-11-27,200.5
2015-11-28,267.0416666666667
2015-11-29,272.0833333333333
2015-11-30,337.125
2015-12-01,212.125
2015-12-02,190.5
2015-12-03,236.41666666666666
2015-12-04,187.875
2015-12-05,252.54166666666666
2015-12-06,312.625
2015-12-07,286.375
2015-12-08,288.0833333333333
2015-12-09,302.4583333333333
2015-12-10,261.25
2015-12-11,269.125
2015-12-12,249.95833333333334
2015-12-13,163.0
2015-12-14,161.375
2015-12-15,157.375
2015-12-16,162.875
2015-12-17,244.16666666666666
2015-12-18,239.79166666666666
2015-12-19,245.91666666666666
2015-12-20,264.5833333333333
2015-12-21,253.29166666666666
2015-12-22,338.625
2015-12-23,431.8333333333333
2015-12-24,215.25
2015-12-25,181.20833333333334
2015-12-26,210.875
2015-12-27,255.33333333333334
2015-12-28,199.91666666666666
2015-12-29,190.5
2015-12-30,199.58333333333334
2015-12-31,137.5
