T,TM,Tm,SLP,H,VV,V,VM
22.3,29.5,19.2,-,77,6.3,0.9,3.5
22.2,29.2,17.6,-,71,5.5,1.9,7.6
22.1,29.2,18.7,-,76,6,1.3,3.5
,,,,,,,
,,,,,,,
,,,,,,,
21.9,28.6,17.4,-,60,6.9,0.4,3.5
22.1,28.6,17.6,-,71,6.3,0.6,3.5
21.6,27.6,18.5,-,72,6.3,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
19.4,27.1,13.7,-,60,8.5,0.9,3.5
19.4,27.1,13.7,-,67,6,0.2,1.9
20.1,27.1,14.7,-,63,6.3,2.8,7.6
,,,,,,,
,,,,,,,
,,,,,,,
21.3,28.2,15.4,-,61,8.5,3.3,5.4
20.9,28.2,15.6,-,63,6.3,3,5.4
21,27.4,15.5,-,61,6.3,4.8,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.1,29.4,17,-,59,7.7,3.3,5.4
21.3,28.4,15.6,-,57,7.7,4.6,7.6
21.4,27.9,16,-,60,6.3,4.1,9.4
,,,,,,,
,,,,,,,
,,,,,,,
22.8,30.2,16.6,-,51,6.3,3.9,9.4
21.9,30.2,16.2,-,53,6.3,3.7,7.6
21.2,29.3,16.4,-,63,6.3,5.2,9.4
21.4,28.6,15,-,58,6.3,3.9,9.4
,,,,,,,
,,,,,,,
,,,,,,,
22.3,30.2,16.3,-,48,6.3,4.1,5.4
22.7,30.6,15.7,-,50,6.3,3.7,9.4
22.2,30.6,15.5,-,54,6.3,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24,32,17.7,-,50,6.9,1.3,3.5
24.7,32.7,17.9,-,43,6.3,0.9,3.5
24.9,33,16.5,-,32,6.3,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.5,33.1,18.6,-,39,6.3,1.9,3.5
24.2,32.1,16.9,-,37,6.9,3.3,11.1
23.7,31.7,17.3,-,41,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
24.6,32.4,17,-,27,6.9,0.9,3.5
25.6,33.5,17.2,-,42,6.9,2.2,5.4
26.1,33.6,20.1,-,46,6.9,3.5,5.4
,,,,,,,
25.2,32.6,20.8,-,62,6.9,3.7,7.6
25.8,32.6,21.4,-,62,6.9,2.2,3.5
23.4,32.4,19.9,-,77,6.3,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
25.8,31.4,21.3,-,63,6.6,2.6,5.4
25.3,31.5,20.1,-,59,6.9,3.3,5.4
24.5,31.5,19.6,-,65,6.9,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.5,31.2,18.6,-,54,6.9,3.9,5.4
25.1,32.7,18.4,-,48,6.9,1.9,3.5
25.8,32.7,20.4,-,55,6.9,3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
26.5,35.1,19.6,-,44,6.9,2.2,5.4
26.9,34.7,19.5,-,25,6.9,2,5.4
27.1,34.7,19.6,-,26,6.9,0,-
,,,,,,,
,,,,,,,
,,,,,,,
27.9,35.8,22.3,-,43,6.3,3,5.4
27,34.5,21,-,47,6.3,2.8,3.5
26.3,34.5,19.9,-,46,6.3,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
26.5,33.8,22.3,-,58,6.9,1.9,3.5
26.9,33.4,21.6,-,56,6.9,2.2,3.5
27.9,35.1,22.4,-,53,6.9,2.4,5.4
28,35.1,22.8,-,54,6.9,2.8,3.5
,,,,,,,
,,,,,,,
,,,,,,,
28.9,35.5,22.7,-,52,6.9,1.5,7.6
28.2,35.5,24.1,-,55,6.9,3.1,3.5
28.1,35,23,-,54,6.9,4.1,9.4
,,,,,,,
,,,,,,,
,,,,,,,
21.3,29,18.8,-,77,6.3,1.3,3.5
23.2,30.5,18.1,-,71,6.9,0.7,5.4
23.2,30.5,19.8,-,80,6.3,1.5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
26.8,32.3,21.4,-,54,7.7,0,-
26.6,32.3,21.9,-,62,6.9,1.3,3.5
26.8,32.3,21.7,-,63,6.9,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.9,33.4,19.8,-,70,6.6,4.3,22.2
23.7,31.3,19.2,-,70,6.3,0.4,3.5
