T,TM,Tm,SLP,H,VV,V,VM
22.2,28.4,16.6,-,53,7.7,0.9,5.4
22.1,28.9,17.8,-,58,5.1,1.1,-
22.2,29,18.4,-,62,6,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
20.4,27.2,15.2,-,52,6.3,4.1,7.6
20.1,27.2,14.8,-,50,6.9,6.5,7.6
21.2,26.6,15.5,-,59,6.3,6.7,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,30.6,17.6,-,48,6.3,4.1,5.4
23.3,31,16.3,-,42,5.8,2.8,11.1
22.4,30.7,16.3,-,49,6.3,3.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
20.7,28.7,14.3,-,48,6.9,7.2,9.4
20.4,28,14.2,-,45,6.3,4.6,7.6
20.9,28.5,14.3,-,46,6.3,4.1,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.7,29.1,17.1,-,48,6.3,2,5.4
21.9,29.8,16.2,-,44,6.3,2.6,7.6
21.3,29,16,-,53,6.9,4.4,11.1
,,,,,,,
,,,,,,,
,,,,,,,
21.4,29.2,15,-,42,6.9,5.2,9.4
21.9,29.6,13.2,-,26,6.9,3.1,7.6
22.6,30.4,15.9,-,30,8.5,5.4,9.4
21.7,30.1,15.8,-,32,6.9,6.3,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.3,32.3,20.2,-,67,6.3,3,5.4
23.3,30,19.2,-,54,6.9,2.4,5.4
24.4,30.2,19.7,-,61,6.9,1.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.5,30.2,18.5,-,49,6.3,5,11.1
23.3,29.9,17.9,-,58,6.9,5.6,7.6
23.4,30.7,17.4,-,60,6.3,5.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.3,32.1,16.8,-,34,6.3,5,9.4
22.8,32.2,17.4,-,39,6.9,7.4,18.3
24.2,31.5,17.5,-,31,6.9,5.4,11.1
,,,,,,,
,,,,,,,
,,,,,,,
24.7,31.2,17.3,-,34,7.4,6.9,11.1
25,32,17.8,-,34,6.9,3.9,5.4
25.2,32.7,18.2,-,28,6.9,5.9,11.1
,,,,,,,
25.2,33.2,18.2,-,26,6.9,5.2,7.6
25.5,32.5,18.3,-,25,6.9,4.8,7.6
25.7,33.2,17.5,-,21,6.9,2.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
25.5,34.6,16.5,-,29,7.7,7,11.1
25.4,33.5,18.5,-,25,6.9,5.7,9.4
26.2,33.3,17.8,-,27,6.9,5.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
25.8,32.5,20.1,-,57,6.9,4.1,7.6
26.5,31.6,22.4,-,50,6.9,4.8,11.1
25.8,32.1,21.6,-,60,6.9,4.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
25.6,31,19.6,-,39,7.4,2.8,48.2
26.7,33.8,19.5,-,37,6.9,2.4,5.4
27.4,33.7,21.4,-,44,6.9,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
27.3,33.4,21.7,-,43,7.7,3.9,7.6
27.1,34.1,20.8,-,34,6.9,3.3,7.6
27.4,34.4,21.5,-,42,6.9,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
25.9,34.8,21.1,-,60,6.3,4.1,9.4
27.6,33.2,21.2,-,54,6.9,2,7.6
24.7,33.5,20.6,-,72,6.9,2.2,5.4
26.1,33.1,19.8,-,55,7.4,0.7,3.5
,,,,,,,
,,,,,,,
,,,,,,,
26.7,33.5,21.6,-,51,8.5,3.1,5.4
26.4,32.6,21,-,47,6.9,5,7.6
26.2,32.7,21,-,49,6.9,5.2,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.6,33.5,21.7,-,51,6.9,5.9,11.1
28.3,34,23.1,-,50,6.9,5.2,7.6
28.2,34.6,23.9,-,52,7.7,3.9,7.6
,,,,,,,
,,,,,,,
,,,,,,,
27.9,34.8,23.9,-,63,6.9,2,7.6
25.5,34,22.8,-,63,6.9,1.1,5.4
28.2,34.8,22.2,-,51,7.4,1.1,3.5
,,,,,,,
,,,,,,,
,,,,,,,
26.6,34,22.2,-,63,6.9,3.1,7.6
27.2,34.4,22.8,-,62,6.9,4.1,5.4
28.3,34.7,22,-,51,9.2,2.8,9.4
,,,,,,,
,,,,,,,
,,,,,,,
26.9,35.2,21.4,-,64,6.3,5,11.1
26.5,33,23.3,-,73,7.7,4.8,9.4
25.9,34,20,-,72,6.9,3,9.4
,,,,,,,
,,,,,,,
,,,,,,,
27.8,33.5,23.4,-,57,6.9,3.9,7.6
25.9,33.5,22.8,-,70,6.9,3.7,9.4
27.2,32.8,21.8,-,59,6.9,4.1,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.9,32,21.5,-,74,7.4,1.1,37
23.8,32,21,-,78,6.9,1.9,5.4
24.8,31.4,20.6,-,63,6.3,0.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
25.9,31.2,21.4,-,66,6.9,6.1,11.1
25.2,32.4,20.5,-,65,6.9,2.6,9.4
24.1,32.4,21.5,-,77,6.3,3.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.5,32,21.4,-,89,6.3,4.1,7.6
25,29.8,21.1,-,78,5.5,2.4,5.4
26,30.8,22.2,-,71,6.9,2.2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
25.6,29.7,20.9,-,77,7.7,6.7,9.4
24.4,30.3,21.8,-,83,6.6,3.5,5.4
23.8,31,20.9,-,81,5.5,3.9,7.6
23.7,29.8,20.8,-,83,6.9,6.5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.9,30.1,21.7,-,79,6.9,12,14.8
23.3,29,21.2,-,83,6.3,11.9,16.5
22,25.8,20.7,-,86,6.6,12.8,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.1,28.3,20.8,-,77,6.3,11.3,14.8
23.2,27.9,21,-,84,6.3,7.8,11.1
23.8,29.6,20.5,-,77,6.9,6.5,9.4
,,,,,,,
,,,,,,,
,,,,,,,
23.8,28.9,20.1,-,74,6.9,12.8,14.8
23.4,29.1,20.7,-,78,6.9,12.6,14.8
23.5,28,20.9,-,79,6.9,9.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.5,27.8,20.1,-,77,6.9,8.3,11.1
23.1,28.1,20.2,-,75,6.9,11.9,16.5
21.9,28,20.1,-,86,6.9,10,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.2,29.5,20.6,-,75,6.9,9.4,14.8
24.8,29.4,20.9,-,68,6.9,10.9,14.8
24.4,30.2,20.7,-,68,6.9,8.1,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22.9,26.3,20.5,-,82,6.9,11.3,16.5
22.4,26.4,20.3,-,86,8,6.7,9.4
22.8,26.4,20.7,-,85,6.9,8.7,14.8
,,,,,,,
,,,,,,,
,,,,,,,
22.2,27.4,20.5,-,86,7.7,10.9,14.8
22.4,26.5,20.3,-,86,6.9,8.5,11.1
23.6,27.2,20.4,-,74,6.9,10,13
,,,,,,,
,,,,,,,
,,,,,,,
23,28.6,21,-,79,6.9,14.8,25.9
23,27,20.4,-,77,6.9,14.6,22.2
22.7,26.9,20.3,-,83,8.5,14.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
23.3,28.2,20.2,-,82,6.9,9.1,14.8
23.7,28.8,20.6,-,79,6.9,8.9,11.1
23.3,27.3,20.5,-,76,6.9,10.9,16.5
,,,,,,,
,,,,,,,
,,,,,,,
23.1,28.3,20.3,-,81,6.9,10,22.2
21.9,27.2,19.4,-,85,5.5,8.7,18.3
23.6,28,18.7,-,77,6.9,9.6,22.2
23.3,28.6,20.8,-,76,6.9,8.5,16.5
,,,,,,,
,,,,,,,
,,,,,,,
21.9,27.7,19.7,-,84,7.4,11.1,14.8
22,25.4,20,-,88,5.5,8.3,13
23.4,27.6,20.2,-,76,6.3,9.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
21.7,24.6,19.4,-,85,7.4,10.2,18.3
21.9,25,19.6,-,88,5.5,10,22.2
22.2,25.7,20.1,-,87,5.5,7.6,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.3,27.4,20.7,-,77,6.3,13.1,18.3
22.8,27.3,20.2,-,78,6.9,11.7,18.3
23.3,27.4,19.7,-,72,6.9,10.6,18.3
,,,,,,,
,,,,,,,
,,,,,,,
23.7,27.8,19.8,-,75,6.9,8.3,11.1
22.4,28.5,20,-,83,6.3,6.3,14.8
21.9,28.3,19.5,-,86,6.3,6.7,11.1
,,,,,,,
,,,,,,,
,,,,,,,
23.3,28.8,20.3,-,78,7.4,6.9,11.1
23.7,28.3,20,-,73,6.9,6.5,11.1
23.8,28.2,20.3,-,71,6.6,7.8,9.4
24.7,29.3,19.7,-,61,6.9,6.5,9.4
,,,,,,,
,,,,,,,
,,,,,,,
24.4,29.2,20.3,-,63,6.9,8.7,14.8
24.3,29.1,20.1,-,66,6.9,7.8,14.8
25.7,30,20.5,-,59,6.9,5.4,9.4
,,,,,,,
,,,,,,,
,,,,,,,
25,31.6,22.3,-,72,6.9,1.9,3.5
24.8,30.3,20.4,-,69,6.3,1.5,5.4
23.9,31.7,20.1,-,77,6.6,2,5.4
,,,,,,,
-,-,-,-,-,-,-,-
,,,,,,,
,,,,,,,
22.7,29.1,19.5,-,81,6.3,5,9.4
23.5,28.4,20,-,71,6.3,5.7,9.4
23.9,28.2,18.4,-,64,6.9,4.8,7.6
,,,,,,,
-,-,-,-,-,-,-,-
,,,,,,,
,,,,,,,
23.7,30.3,19.9,-,79,5.5,0.4,3.5
25.1,29.2,21.3,-,72,6.9,3.5,5.4
25.3,29.9,21.4,-,69,6.9,3.7,7.6
,,,,,,,
25.5,30.9,21.6,-,73,6.9,5.2,7.6
24.9,30.3,21.3,-,71,6.9,4.6,5.4
24.1,30.4,21.6,-,75,6.9,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.2,28.2,20.2,-,70,6.9,3.3,5.4
24.1,29.5,20.8,-,72,6.3,3.1,3.5
24.3,29.5,20.6,-,65,6.3,1.5,5.4
,,,,,,,
,,,,,,,
,,,,,,,
25,31.5,20.4,-,67,6.3,2.4,5.4
24,30.3,21,-,75,6.9,3.1,3.5
23.4,29.8,20.1,-,82,6.9,0.4,3.5
,,,,,,,
,,,,,,,
,,,,,,,
24.4,28.7,20.2,-,71,7.4,3.1,3.5
23.8,29.3,19.7,-,58,6.9,3.1,3.5
23.7,29,19.7,-,60,6.3,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.9,30.2,18.2,-,58,5.5,5,9.4
23.8,29.3,18.7,-,58,6.6,4.6,7.6
23.4,29.5,18.2,-,51,6.9,3.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.8,30.1,19.7,-,64,6.3,4.6,11.1
24.3,30.4,20,-,65,6.3,3.9,5.4
22.9,30.3,19.8,-,78,6.6,5.2,5.4
22.8,27.7,20.4,-,81,5.5,8.1,14.8
,,,,,,,
,,,,,,,
,,,,,,,
23.3,30,18,-,48,6.9,3.9,7.6
22.2,29.6,16,-,60,6.9,3,5.4
23.4,29.2,17.5,-,58,6.3,5,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.4,30,16.2,-,44,6.9,1.3,3.5
23,30.5,14.8,-,44,6.9,0.9,3.5
23.3,31,16.5,-,68,6.9,5.4,7.6
,,,,,,,
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
,,,,,,,
,,,,,,,
22.6,27.6,19.2,-,70,4.8,3.1,5.4
22.2,28.8,18,-,66,5.6,3.3,5.4
20.8,29,16.3,-,64,5,5,9.4
,,,,,,,
,,,,,,,
,,,,,,,
21.8,29.5,18,-,62,6.3,4.3,9.4
21.8,28.3,15.6,-,56,6.9,4.6,7.6
21.7,28.8,18.2,-,67,6.9,3.3,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22.3,29.3,18.3,-,70,6.8,3.1,5.4
22.5,28.2,17.7,-,72,6.8,4.8,7.6
23.1,29.4,17.6,-,62,5.8,5.2,11.1
,,,,,,,
,,,,,,,
,,,,,,,
22.3,29.9,18.7,-,70,6,3,9.4
22.8,28.9,17.7,-,59,5.3,3.1,5.4
21.8,28.9,17.7,-,59,6.3,7,9.4
,,,,,,,
,,,,,,,
,,,,,,,
21.6,28.5,16,-,67,6.3,3.1,11.1
22.2,27.7,17.7,-,63,6.9,2.8,7.6
22.7,28.4,18.1,-,65,6.3,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,29.1,18.4,-,62,6,5.7,9.4
23.8,30.2,17.7,-,56,5.5,6.1,9.4
24,31.4,19,-,63,6.3,5.4,7.6
,,,,,,,
,,,,,,,
,,,,,,,
20.9,25.8,16.6,-,51,6.6,3.9,11.1
